"","PassengerId","Pclass","Sex","Zona","FamilyCat","Price_Per_Person","PriceCat","Age_imp","title","Embarked","AgeCat","Survived"
"53",53,"1","female","D","petita",38.3646,"alt",49,"Mrs","C","adults","1"
"54",54,"2","female","Desconeguda","petita",13,"mig",29,"Mrs","S","adults","1"
"55",55,"1","male","B","petita",30.9896,"alt",65,"Mr","C","ancians","0"
"56",56,"1","male","C","sol",35.5,"alt",42,"Mr","S","adults","1"
"57",57,"2","female","Desconeguda","sol",10.5,"mig",21,"Miss","S","adults","1"
"58",58,"3","male","Desconeguda","sol",7.2292,"baix",28,"Mr","C","adults","0"
"59",59,"2","female","Desconeguda","petita",6.9375,"baix",5,"Miss","S","nens","1"
"60",60,"3","male","Desconeguda","gran",5.8625,"baix",11,"Master","S","adolescents","0"
"61",61,"3","male","Desconeguda","sol",7.2292,"baix",22,"Mr","C","adults","0"
"62",62,"1","female","B","sol",80,"alt",38,"Miss","S","adults","1"
"63",63,"1","male","C","petita",41.7375,"alt",45,"Mr","S","adults","0"
"64",64,"3","male","Desconeguda","moderada",4.65,"baix",4,"Master","S","nens","0"
"65",65,"1","male","Desconeguda","sol",27.7208,"alt",42,"Mr","C","adults","0"
"66",66,"3","male","Desconeguda","petita",5.08193333333333,"baix",10.5,"Master","C","adolescents","1"
"67",67,"2","female","F","sol",10.5,"mig",29,"Mrs","S","adults","1"
"68",68,"3","male","Desconeguda","sol",8.1583,"baix",19,"Mr","S","adults","0"
"69",69,"3","female","Desconeguda","gran",1.13214285714286,"baix",17,"Miss","S","adolescents","1"
"70",70,"3","male","Desconeguda","petita",2.8875,"baix",26,"Mr","S","adults","0"
"71",71,"2","male","Desconeguda","sol",10.5,"mig",32,"Mr","S","adults","0"
"72",72,"3","female","Desconeguda","gran",5.8625,"baix",16,"Miss","S","adolescents","0"
"73",73,"2","male","Desconeguda","sol",73.5,"alt",21,"Mr","S","adults","0"
"74",74,"3","male","Desconeguda","petita",7.2271,"baix",26,"Mr","C","adults","0"
"75",75,"3","male","Desconeguda","sol",56.4958,"alt",32,"Mr","S","adults","1"
"76",76,"3","male","F","sol",7.65,"baix",25,"Mr","S","adults","0"
"77",77,"3","male","Desconeguda","sol",7.8958,"baix",26,"Mr","S","adults","0"
"78",78,"3","male","Desconeguda","sol",8.05,"baix",26,"Mr","S","adults","0"
"79",79,"2","male","Desconeguda","petita",9.66666666666667,"mig",0,"Master","S","nens","1"
"80",80,"3","female","Desconeguda","sol",12.475,"mig",30,"Miss","S","adults","1"
"81",81,"3","male","Desconeguda","sol",9,"baix",22,"Mr","S","adults","0"
"82",82,"3","male","Desconeguda","sol",9.5,"mig",29,"Mr","S","adults","1"
"83",83,"3","female","Desconeguda","sol",7.7875,"baix",22,"Miss","Q","adults","1"
"84",84,"1","male","Desconeguda","sol",47.1,"alt",28,"Mr","S","adults","0"
"85",85,"2","female","Desconeguda","sol",10.5,"mig",17,"Miss","S","adolescents","1"
"86",86,"3","female","Desconeguda","petita",3.9625,"baix",33,"Mrs","S","adults","1"
"87",87,"3","male","Desconeguda","moderada",6.875,"baix",16,"Mr","S","adolescents","0"
"88",88,"3","male","Desconeguda","sol",8.05,"baix",26,"Mr","S","adults","0"
"89",89,"1","female","C","moderada",43.8333333333333,"alt",23,"Miss","S","adults","1"
"90",90,"3","male","Desconeguda","sol",8.05,"baix",24,"Mr","S","adults","0"
"91",91,"3","male","Desconeguda","sol",8.05,"baix",29,"Mr","S","adults","0"
"92",92,"3","male","Desconeguda","sol",7.8542,"baix",20,"Mr","S","adults","0"
"93",93,"1","male","E","petita",30.5875,"alt",46,"Mr","S","adults","0"
"94",94,"3","male","Desconeguda","petita",5.14375,"baix",26,"Mr","S","adults","0"
"95",95,"3","male","Desconeguda","sol",7.25,"baix",59,"Mr","S","ancians","0"
"96",96,"3","male","Desconeguda","sol",8.05,"baix",26,"Mr","S","adults","0"
"97",97,"1","male","A","sol",34.6542,"alt",71,"Mr","C","ancians","0"
"98",98,"1","male","D","petita",31.67915,"alt",23,"Mr","C","adults","1"
"99",99,"2","female","Desconeguda","petita",11.5,"mig",34,"Mrs","S","adults","1"
"100",100,"2","male","Desconeguda","petita",13,"mig",34,"Mr","S","adults","0"
"101",101,"3","female","Desconeguda","sol",7.8958,"baix",28,"Miss","S","adults","0"
"102",102,"3","male","Desconeguda","sol",7.8958,"baix",26,"Mr","S","adults","0"
"103",103,"1","male","D","petita",38.64375,"alt",21,"Mr","S","adults","0"
"104",104,"3","male","Desconeguda","sol",8.6542,"baix",33,"Mr","S","adults","0"
"105",105,"3","male","Desconeguda","petita",2.64166666666667,"baix",37,"Mr","S","adults","0"
"106",106,"3","male","Desconeguda","sol",7.8958,"baix",28,"Mr","S","adults","0"
"107",107,"3","female","Desconeguda","sol",7.65,"baix",21,"Miss","S","adults","1"
"108",108,"3","male","Desconeguda","sol",7.775,"baix",26,"Mr","S","adults","1"
"109",109,"3","male","Desconeguda","sol",7.8958,"baix",38,"Mr","S","adults","0"
"110",110,"3","female","Desconeguda","petita",12.075,"mig",22,"Miss","Q","adults","1"
"111",111,"1","male","C","sol",52,"alt",47,"Mr","S","adults","0"
"112",112,"3","female","Desconeguda","petita",7.2271,"baix",14,"Miss","C","adolescents","0"
"113",113,"3","male","Desconeguda","sol",8.05,"baix",22,"Mr","S","adults","0"
"114",114,"3","female","Desconeguda","petita",4.9125,"baix",20,"Miss","S","adults","0"
"115",115,"3","female","Desconeguda","sol",14.4583,"mig",17,"Miss","C","adolescents","0"
"116",116,"3","male","Desconeguda","sol",7.925,"baix",21,"Mr","S","adults","0"
"117",117,"3","male","Desconeguda","sol",7.75,"baix",70,"Mr","Q","ancians","0"
"118",118,"2","male","Desconeguda","petita",10.5,"mig",29,"Mr","S","adults","0"
"119",119,"1","male","B","petita",123.7604,"alt",24,"Mr","C","adults","0"
"120",120,"3","female","Desconeguda","gran",4.46785714285714,"baix",2,"Miss","S","nens","0"
"121",121,"2","male","Desconeguda","petita",24.5,"alt",21,"Mr","S","adults","0"
"122",122,"3","male","Desconeguda","sol",8.05,"baix",26,"Mr","S","adults","0"
"123",123,"2","male","Desconeguda","petita",15.0354,"mig",32,"Mr","C","adults","0"
"124",124,"2","female","E","sol",13,"mig",32,"Miss","S","adults","1"
"125",125,"1","male","D","petita",38.64375,"alt",54,"Mr","S","adults","0"
"126",126,"3","male","Desconeguda","petita",5.62085,"baix",12,"Master","C","adolescents","1"
"127",127,"3","male","Desconeguda","sol",7.75,"baix",26,"Mr","Q","adults","0"
"128",128,"3","male","Desconeguda","sol",7.1417,"baix",24,"Mr","S","adults","1"
"129",129,"3","female","F","petita",7.45276666666667,"baix",17,"Miss","C","adolescents","1"
"130",130,"3","male","Desconeguda","sol",6.975,"baix",45,"Mr","S","adults","0"
"131",131,"3","male","Desconeguda","sol",7.8958,"baix",33,"Mr","C","adults","0"
"132",132,"3","male","Desconeguda","sol",7.05,"baix",20,"Mr","S","adults","0"
"133",133,"3","female","Desconeguda","petita",7.25,"baix",47,"Mrs","S","adults","0"
"134",134,"2","female","Desconeguda","petita",13,"mig",29,"Mrs","S","adults","1"
"135",135,"2","male","Desconeguda","sol",13,"mig",25,"Mr","S","adults","0"
"136",136,"2","male","Desconeguda","sol",15.0458,"mig",23,"Mr","C","adults","0"
"137",137,"1","female","D","petita",8.7611,"baix",19,"Miss","S","adults","1"
"138",138,"1","male","C","petita",26.55,"alt",37,"Mr","S","adults","0"
"139",139,"3","male","Desconeguda","sol",9.2167,"mig",16,"Mr","S","adolescents","0"
"140",140,"1","male","B","sol",79.2,"alt",24,"Mr","C","adults","0"
"141",141,"3","female","Desconeguda","petita",5.08193333333333,"baix",17,"Mrs","C","adolescents","0"
"142",142,"3","female","Desconeguda","sol",7.75,"baix",22,"Miss","S","adults","1"
"143",143,"3","female","Desconeguda","petita",7.925,"baix",24,"Mrs","S","adults","1"
"144",144,"3","male","Desconeguda","sol",6.75,"baix",19,"Mr","Q","adults","0"
"145",145,"2","male","Desconeguda","sol",11.5,"mig",18,"Mr","S","adolescents","0"
"146",146,"2","male","Desconeguda","petita",12.25,"mig",19,"Mr","S","adults","0"
"147",147,"3","male","Desconeguda","sol",7.7958,"baix",27,"Mr","S","adults","1"
"148",148,"3","female","Desconeguda","moderada",6.875,"baix",9,"Miss","S","nens","0"
"149",149,"2","male","F","petita",8.66666666666667,"baix",36,"Mr","S","adults","0"
"150",150,"2","male","Desconeguda","sol",13,"mig",42,"noble","S","adults","0"
"151",151,"2","male","Desconeguda","sol",12.525,"mig",51,"noble","S","adults","0"
"152",152,"1","female","C","petita",33.3,"alt",22,"Mrs","S","adults","1"
"153",153,"3","male","Desconeguda","sol",8.05,"baix",55,"Mr","S","adults","0"
"154",154,"3","male","Desconeguda","petita",4.83333333333333,"baix",40,"Mr","S","adults","0"
"155",155,"3","male","Desconeguda","sol",7.3125,"baix",26,"Mr","S","adults","0"
"156",156,"1","male","Desconeguda","petita",30.6896,"alt",51,"Mr","C","adults","0"
"157",157,"3","female","Desconeguda","sol",7.7333,"baix",16,"Miss","Q","adolescents","1"
"158",158,"3","male","Desconeguda","sol",8.05,"baix",30,"Mr","S","adults","0"
"159",159,"3","male","Desconeguda","sol",8.6625,"baix",26,"Mr","S","adults","0"
"160",160,"3","male","Desconeguda","gran",6.32272727272727,"baix",10.5,"Master","S","adolescents","0"
"161",161,"3","male","Desconeguda","petita",8.05,"baix",44,"Mr","S","adults","0"
"162",162,"2","female","Desconeguda","sol",15.75,"mig",40,"Mrs","S","adults","1"
"163",163,"3","male","Desconeguda","sol",7.775,"baix",26,"Mr","S","adults","0"
"164",164,"3","male","Desconeguda","sol",8.6625,"baix",17,"Mr","S","adolescents","0"
"165",165,"3","male","Desconeguda","moderada",6.61458333333333,"baix",1,"Master","S","nens","0"
"166",166,"3","male","Desconeguda","petita",6.84166666666667,"baix",9,"Master","S","nens","1"
"167",167,"1","female","E","petita",27.5,"alt",37.5,"Mrs","S","adults","1"
"168",168,"3","female","Desconeguda","moderada",4.65,"baix",45,"Mrs","S","adults","0"
"169",169,"1","male","Desconeguda","sol",25.925,"alt",42,"Mr","S","adults","0"
"170",170,"3","male","Desconeguda","sol",56.4958,"alt",28,"Mr","S","adults","0"
"171",171,"1","male","B","sol",33.5,"alt",61,"Mr","S","ancians","0"
"172",172,"3","male","Desconeguda","moderada",4.85416666666667,"baix",4,"Master","Q","nens","0"
"173",173,"3","female","Desconeguda","petita",3.7111,"baix",1,"Miss","S","nens","1"
"174",174,"3","male","Desconeguda","sol",7.925,"baix",21,"Mr","S","adults","0"
"175",175,"1","male","A","sol",30.6958,"alt",56,"Mr","C","ancians","0"
"176",176,"3","male","Desconeguda","petita",2.61806666666667,"baix",18,"Mr","S","adolescents","0"
"177",177,"3","male","Desconeguda","moderada",5.09334,"baix",10.5,"Master","S","adolescents","0"
"178",178,"1","female","C","sol",28.7125,"alt",50,"Miss","C","adults","0"
"179",179,"2","male","Desconeguda","sol",13,"mig",30,"Mr","S","adults","0"
"180",180,"3","male","Desconeguda","sol",0,"baix",36,"Mr","S","adults","0"
"181",181,"3","female","Desconeguda","gran",6.32272727272727,"baix",17,"Miss","S","adolescents","0"
"182",182,"2","male","Desconeguda","sol",15.05,"mig",30,"Mr","C","adults","0"
"183",183,"3","male","Desconeguda","gran",4.48392857142857,"baix",9,"Master","S","nens","0"
"184",184,"2","male","F","petita",9.75,"mig",1,"Master","S","nens","1"
"185",185,"3","female","Desconeguda","petita",7.34166666666667,"baix",4,"Miss","S","nens","1"
"186",186,"1","male","A","sol",50,"alt",42,"Mr","S","adults","0"
"187",187,"3","female","Desconeguda","petita",7.75,"baix",22,"Mrs","Q","adults","1"
"188",188,"1","male","Desconeguda","sol",26.55,"alt",45,"Mr","S","adults","1"
"189",189,"3","male","Desconeguda","petita",5.16666666666667,"baix",40,"Mr","Q","adults","0"
"190",190,"3","male","Desconeguda","sol",7.8958,"baix",36,"Mr","S","adults","0"
"191",191,"2","female","Desconeguda","sol",13,"mig",32,"Mrs","S","adults","1"
"192",192,"2","male","Desconeguda","sol",13,"mig",19,"Mr","S","adults","0"
"193",193,"3","female","Desconeguda","petita",3.9271,"baix",19,"Miss","S","adults","1"
"194",194,"2","male","F","petita",8.66666666666667,"baix",3,"Master","S","nens","1"
"195",195,"1","female","B","sol",27.7208,"alt",44,"Mrs","C","adults","1"
"196",196,"1","female","B","sol",146.5208,"alt",58,"Miss","C","ancians","1"
"197",197,"3","male","Desconeguda","sol",7.75,"baix",26,"Mr","Q","adults","0"
"198",198,"3","male","Desconeguda","petita",4.2021,"baix",42,"Mr","S","adults","0"
"199",199,"3","female","Desconeguda","sol",7.75,"baix",22,"Miss","Q","adults","1"
"200",200,"2","female","Desconeguda","sol",13,"mig",24,"Miss","S","adults","0"
"201",201,"3","male","Desconeguda","sol",9.5,"mig",28,"Mr","S","adults","0"
"202",202,"3","male","Desconeguda","gran",6.32272727272727,"baix",10.5,"Mr","S","adolescents","0"
"203",203,"3","male","Desconeguda","sol",6.4958,"baix",34,"Mr","S","adults","0"
"204",204,"3","male","Desconeguda","sol",7.225,"baix",45,"Mr","C","adults","0"
"205",205,"3","male","Desconeguda","sol",8.05,"baix",18,"Mr","S","adolescents","1"
"206",206,"3","female","G","petita",5.23125,"baix",2,"Miss","S","nens","0"
"207",207,"3","male","Desconeguda","petita",7.925,"baix",32,"Mr","S","adults","0"
"208",208,"3","male","Desconeguda","sol",18.7875,"alt",26,"Mr","C","adults","1"
"209",209,"3","female","Desconeguda","sol",7.75,"baix",16,"Miss","Q","adolescents","1"
"210",210,"1","male","A","sol",31,"alt",40,"Mr","C","adults","1"
"211",211,"3","male","Desconeguda","sol",7.05,"baix",24,"Mr","S","adults","0"
"212",212,"2","female","Desconeguda","sol",21,"alt",35,"Miss","S","adults","1"
"213",213,"3","male","Desconeguda","sol",7.25,"baix",22,"Mr","S","adults","0"
"214",214,"2","male","Desconeguda","sol",13,"mig",30,"Mr","S","adults","0"
"215",215,"3","male","Desconeguda","petita",3.875,"baix",26,"Mr","Q","adults","0"
"216",216,"1","female","D","petita",56.6375,"alt",31,"Miss","C","adults","1"
"217",217,"3","female","Desconeguda","sol",7.925,"baix",27,"Miss","S","adults","1"
"218",218,"2","male","Desconeguda","petita",13.5,"mig",42,"Mr","S","adults","0"
"219",219,"1","female","D","sol",76.2917,"alt",32,"Miss","C","adults","1"
"220",220,"2","male","Desconeguda","sol",10.5,"mig",30,"Mr","S","adults","0"
"221",221,"3","male","Desconeguda","sol",8.05,"baix",16,"Mr","S","adolescents","1"
"222",222,"2","male","Desconeguda","sol",13,"mig",27,"Mr","S","adults","0"
"223",223,"3","male","Desconeguda","sol",8.05,"baix",51,"Mr","S","adults","0"
"224",224,"3","male","Desconeguda","sol",7.8958,"baix",26,"Mr","S","adults","0"
"225",225,"1","male","C","petita",45,"alt",38,"Mr","S","adults","1"
"226",226,"3","male","Desconeguda","sol",9.35,"mig",22,"Mr","S","adults","0"
"227",227,"2","male","Desconeguda","sol",10.5,"mig",19,"Mr","S","adults","1"
"228",228,"3","male","Desconeguda","sol",7.25,"baix",20,"Mr","S","adults","0"
"229",229,"2","male","Desconeguda","sol",13,"mig",18,"Mr","S","adolescents","0"
"230",230,"3","female","Desconeguda","moderada",5.09334,"baix",17,"Miss","S","adolescents","0"
"231",231,"1","female","C","petita",41.7375,"alt",35,"Mrs","S","adults","1"
"232",232,"3","male","Desconeguda","sol",7.775,"baix",29,"Mr","S","adults","0"
"233",233,"2","male","Desconeguda","sol",13.5,"mig",59,"Mr","S","ancians","0"
"234",234,"3","female","Desconeguda","gran",4.48392857142857,"baix",5,"Miss","S","nens","1"
"235",235,"2","male","Desconeguda","sol",10.5,"mig",24,"Mr","S","adults","0"
"236",236,"3","female","Desconeguda","sol",7.55,"baix",22,"Miss","S","adults","0"
"237",237,"2","male","Desconeguda","petita",13,"mig",44,"Mr","S","adults","0"
"238",238,"2","female","Desconeguda","petita",8.75,"baix",8,"Miss","S","nens","1"
"239",239,"2","male","Desconeguda","sol",10.5,"mig",19,"Mr","S","adults","0"
"240",240,"2","male","Desconeguda","sol",12.275,"mig",33,"Mr","S","adults","0"
"241",241,"3","female","Desconeguda","petita",7.2271,"baix",22,"Miss","C","adults","0"
"242",242,"3","female","Desconeguda","petita",7.75,"baix",22,"Miss","Q","adults","1"
"243",243,"2","male","Desconeguda","sol",10.5,"mig",29,"Mr","S","adults","0"
"244",244,"3","male","Desconeguda","sol",7.125,"baix",22,"Mr","S","adults","0"
"245",245,"3","male","Desconeguda","sol",7.225,"baix",30,"Mr","C","adults","0"
"246",246,"1","male","C","petita",30,"alt",44,"noble","Q","adults","0"
"247",247,"3","female","Desconeguda","sol",7.775,"baix",25,"Miss","S","adults","0"
"248",248,"2","female","Desconeguda","petita",4.83333333333333,"baix",24,"Mrs","S","adults","1"
"249",249,"1","male","D","petita",17.5180666666667,"mig",37,"Mr","S","adults","1"
"250",250,"2","male","Desconeguda","petita",13,"mig",54,"noble","S","adults","0"
"251",251,"3","male","Desconeguda","sol",7.25,"baix",26,"Mr","S","adults","0"
"252",252,"3","female","G","petita",3.4875,"baix",29,"Mrs","S","adults","0"
"253",253,"1","male","C","sol",26.55,"alt",62,"Mr","S","ancians","0"
"254",254,"3","male","Desconeguda","petita",8.05,"baix",30,"Mr","S","adults","0"
"255",255,"3","female","Desconeguda","petita",6.7375,"baix",41,"Mrs","S","adults","0"
"256",256,"3","female","Desconeguda","petita",5.08193333333333,"baix",29,"Mrs","C","adults","1"
"257",257,"1","female","Desconeguda","sol",79.2,"alt",35,"Mrs","C","adults","1"
"258",258,"1","female","B","sol",86.5,"alt",30,"Miss","S","adults","1"
"259",259,"1","female","Desconeguda","sol",512.3292,"alt",35,"Miss","C","adults","1"
"260",260,"2","female","Desconeguda","petita",13,"mig",50,"Mrs","S","adults","1"
"261",261,"3","male","Desconeguda","sol",7.75,"baix",26,"Mr","Q","adults","0"
"262",262,"3","male","Desconeguda","gran",4.48392857142857,"baix",3,"Master","S","nens","1"
"263",263,"1","male","E","petita",26.55,"alt",52,"Mr","S","adults","0"
"264",264,"1","male","B","sol",0,"baix",40,"Mr","S","adults","0"
"265",265,"3","female","Desconeguda","sol",7.75,"baix",22,"Miss","Q","adults","0"
"266",266,"2","male","Desconeguda","sol",10.5,"mig",36,"Mr","S","adults","0"
"267",267,"3","male","Desconeguda","moderada",6.61458333333333,"baix",16,"Mr","S","adolescents","0"
"268",268,"3","male","Desconeguda","petita",3.8875,"baix",25,"Mr","S","adults","1"
"269",269,"1","female","C","petita",76.73125,"alt",58,"Mrs","S","ancians","1"
"270",270,"1","female","C","sol",135.6333,"alt",35,"Miss","S","adults","1"
"271",271,"1","male","Desconeguda","sol",31,"alt",42,"Mr","S","adults","0"
"272",272,"3","male","Desconeguda","sol",0,"baix",25,"Mr","S","adults","1"
"273",273,"2","female","Desconeguda","petita",9.75,"mig",41,"Mrs","S","adults","1"
"274",274,"1","male","C","petita",14.85,"mig",37,"Mr","C","adults","0"
"275",275,"3","female","Desconeguda","sol",7.75,"baix",22,"Miss","Q","adults","1"
"276",276,"1","female","D","petita",38.97915,"alt",63,"Miss","S","ancians","1"
"277",277,"3","female","Desconeguda","sol",7.75,"baix",45,"Miss","S","adults","0"
"278",278,"2","male","Desconeguda","sol",0,"baix",30,"Mr","S","adults","0"
"279",279,"3","male","Desconeguda","moderada",4.85416666666667,"baix",7,"Master","Q","nens","0"
"280",280,"3","female","Desconeguda","petita",6.75,"baix",35,"Mrs","S","adults","1"
"281",281,"3","male","Desconeguda","sol",7.75,"baix",65,"Mr","Q","ancians","0"
"282",282,"3","male","Desconeguda","sol",7.8542,"baix",28,"Mr","S","adults","0"
"283",283,"3","male","Desconeguda","sol",9.5,"mig",16,"Mr","S","adolescents","0"
"284",284,"3","male","Desconeguda","sol",8.05,"baix",19,"Mr","S","adults","1"
"285",285,"1","male","A","sol",26,"alt",42,"Mr","S","adults","0"
"286",286,"3","male","Desconeguda","sol",8.6625,"baix",33,"Mr","C","adults","0"
"287",287,"3","male","Desconeguda","sol",9.5,"mig",30,"Mr","S","adults","1"
"288",288,"3","male","Desconeguda","sol",7.8958,"baix",22,"Mr","S","adults","0"
"289",289,"2","male","Desconeguda","sol",13,"mig",42,"Mr","S","adults","1"
"290",290,"3","female","Desconeguda","sol",7.75,"baix",22,"Miss","Q","adults","1"
"291",291,"1","female","Desconeguda","sol",78.85,"alt",26,"Miss","S","adults","1"
"292",292,"1","female","B","petita",45.5396,"alt",19,"Mrs","C","adults","1"
"293",293,"2","male","D","sol",12.875,"mig",36,"Mr","C","adults","0"
"294",294,"3","female","Desconeguda","sol",8.85,"baix",24,"Miss","S","adults","0"
"295",295,"3","male","Desconeguda","sol",7.8958,"baix",24,"Mr","S","adults","0"
"296",296,"1","male","Desconeguda","sol",27.7208,"alt",42,"Mr","C","adults","0"
"297",297,"3","male","Desconeguda","sol",7.2292,"baix",23,"Mr","C","adults","0"
"298",298,"1","female","C","petita",37.8875,"alt",2,"Miss","S","nens","0"
"299",299,"1","male","C","sol",30.5,"alt",42,"Mr","S","adults","1"
"300",300,"1","female","B","petita",123.7604,"alt",50,"Mrs","C","adults","1"
"301",301,"3","female","Desconeguda","sol",7.75,"baix",22,"Miss","Q","adults","1"
"302",302,"3","male","Desconeguda","petita",7.75,"baix",26,"Mr","Q","adults","1"
"303",303,"3","male","Desconeguda","sol",0,"baix",19,"Mr","S","adults","0"
"304",304,"2","female","E","sol",12.35,"mig",29,"Miss","Q","adults","1"
"305",305,"3","male","Desconeguda","sol",8.05,"baix",26,"Mr","S","adults","0"
"306",306,"1","male","C","petita",37.8875,"alt",0,"Master","S","nens","1"
"307",307,"1","female","Desconeguda","sol",110.8833,"alt",35,"Miss","C","adults","1"
"308",308,"1","female","C","petita",54.45,"alt",17,"Mrs","C","adolescents","1"
"309",309,"2","male","Desconeguda","petita",12,"mig",30,"Mr","C","adults","0"
"310",310,"1","female","E","sol",56.9292,"alt",30,"Miss","C","adults","1"
"311",311,"1","female","C","sol",83.1583,"alt",24,"Miss","C","adults","1"
"312",312,"1","female","B","moderada",52.475,"alt",18,"Miss","C","adolescents","1"
"313",313,"2","female","Desconeguda","petita",8.66666666666667,"baix",26,"Mrs","S","adults","0"
"314",314,"3","male","Desconeguda","sol",7.8958,"baix",28,"Mr","S","adults","0"
"315",315,"2","male","Desconeguda","petita",8.75,"baix",43,"Mr","S","adults","0"
"316",316,"3","female","Desconeguda","sol",7.8542,"baix",26,"Miss","S","adults","1"
"317",317,"2","female","Desconeguda","petita",13,"mig",24,"Mrs","S","adults","1"
"318",318,"2","male","Desconeguda","sol",14,"mig",54,"noble","S","adults","0"
"319",319,"1","female","C","petita",54.9555666666667,"alt",31,"Miss","S","adults","1"
"320",320,"1","female","E","petita",44.8333333333333,"alt",40,"Mrs","C","adults","1"
"321",321,"3","male","Desconeguda","sol",7.25,"baix",22,"Mr","S","adults","0"
"322",322,"3","male","Desconeguda","sol",7.8958,"baix",27,"Mr","S","adults","0"
